Time,Wave Probe C,Wave Probe G,Wave Probe L
244.8125,-88.57395101,255.4394932,-243.7153447
244.875,-30.22195101,281.6894932,-214.3603447
244.9375,52.73804899,299.2474932,-176.2503447
245,138.226049,305.6974932,-119.0853447
245.0625,204.530049,298.2724932,-52.39284468
245.125,252.914049,278.9524932,27.44825532
245.1875,274.178049,250.0094932,135.8396553
245.25,295.154049,211.8794932,228.7976553
245.3125,311.026049,178.9774932,284.4176553
245.375,321.794049,147.2974932,300.6396553
245.4375,323.330049,109.9094932,313.7886553
245.5,311.538049,65.11199318,309.9096553
245.5625,289.026049,6.949493181,303.4726553
245.625,264.962049,-48.24300682,289.8406553
245.6875,239.874049,-88.09050682,274.8896553
245.75,212.210049,-112.3455068,258.6676553
245.8125,176.882049,-133.8785068,246.8386553
245.875,134.642049,-149.4705068,216.4536553
245.9375,91.90604899,-166.5485068,168.0276553
246,48.62604899,-188.3285068,116.2696553
246.0625,8.434048993,-200.4405068,83.58325532
246.125,-24.84595101,-201.9405068,54.98465532
246.1875,-59.14995101,-200.9505068,13.78465532
246.25,-94.22195101,-199.2185068,-35.39784468
246.3125,-136.701951,-195.4905068,-77.37034468
246.375,-171.517951,-200.4405068,-106.4513447
246.4375,-193.789951,-208.3605068,-133.2483447
246.5,-208.893951,-210.0925068,-160.0283447
246.5625,-220.157951,-198.9705068,-178.3103447
246.625,-228.605951,-184.3525068,-184.2333447
246.6875,-233.725951,-177.1755068,-194.5333447
246.75,-232.461951,-171.4825068,-213.0563447
246.8125,-230.157951,-159.1235068,-227.2353447
246.875,-237.325951,-133.6305068,-233.6733447
246.9375,-233.469951,-97.00050682,-239.0643447
247,-217.853951,-55.91550682,-238.5493447
247.0625,-207.117951,-22.99800682,-235.9903447
247.125,-195.085951,-3.182536819,-230.5663447
247.1875,-182.285951,14.86949318,-221.0393447
247.25,-169.469951,35.92249318,-198.6363447
247.3125,-146.173951,58.69249318,-176.2503447
247.375,-110.589951,76.26499318,-152.3033447
247.4375,-73.21395101,87.63449318,-126.8103447
247.5,-38.14195101,99.28249318,-98.46934468
247.5625,-9.485951007,109.9094932,-75.29424468
247.625,17.92204899,123.5374932,-54.95174468
247.6875,40.94604899,125.7494932,-26.12784468
247.75,62.45004899,120.0574932,12.49715532
247.8125,94.46604899,134.4124932,49.07825532
247.875,126.978049,165.1024932,75.34325532
247.9375,155.378049,172.5274932,104.6826553
248,180.210049,155.2174932,136.8696553
248.0625,198.658049,157.1824932,159.5296553
248.125,204.274049,164.6074932,181.1596553
248.1875,205.314049,147.5444932,192.4896553
248.25,206.594049,111.6424932,208.4706553
248.3125,199.426049,95.80199318,216.9686553
248.375,189.442049,98.78749318,217.4676553
248.4375,170.482049,85.65449318,217.9826553
248.5,147.186049,59.43499318,209.4846553
248.5625,131.842049,41.86249318,194.5496553
248.625,127.986049,33.18449318,170.3446553
248.6875,112.370049,20.80949318,142.5506553
248.75,99.07404899,6.206993181,124.5256553
248.8125,97.77804899,-0.228006819,116.0286553
248.875,92.67404899,6.701993181,100.0632553
248.9375,74.75404899,21.79949318,72.23715532
249,55.53804899,22.78949318,49.31965532
249.0625,46.32204899,17.09699318,34.65825532
249.125,35.82604899,23.77949318,25.13075532
249.1875,19.71404899,35.42749318,12.23965532
249.25,3.586048993,41.10449318,-2.69534468
249.3125,-10.25395101,40.85699318,-8.60174468
249.375,-19.72595101,45.07999318,-13.51034468
249.4375,-31.24595101,49.02449318,-18.66034468
249.5,-41.99795101,47.78699318,-25.59674468
249.5625,-48.65395101,27.25999318,-36.42784468
249.625,-50.70195101,4.737463181,-42.07674468
